CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
80001,8,2,1,1,1,1,0,1,0,0,0,0,15,11.11,2,1,18,T
80003,1,1,1,4,2,0,0,0,0,0,3,0,12,25.00,0,0,12,T
80007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,19,19,T
80008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,21,21,T
80009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,25,25,T
80011,5,15,7,3,14,4,3,4,1,0,2,0,58,8.20,3,0,61,T
80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,27,27,T
80049,0,8,1,4,1,0,1,3,0,0,2,0,20,10.00,0,0,20,T
80050,1,9,3,5,2,2,0,0,0,0,0,0,22,4.35,1,0,23,T
80052,0,4,3,1,5,5,2,0,0,0,1,0,21,4.76,0,0,21,T
80053,0,5,3,1,4,0,0,0,0,0,1,0,14,13.33,1,0,15,T
80054,3,5,2,3,1,1,0,0,0,0,0,0,15,0.00,0,0,15,T
80055,7,6,7,7,12,4,7,3,6,3,5,0,67,17.57,5,2,74,T
80060,1,8,4,5,13,3,13,6,1,2,0,0,56,27.03,18,0,74,T
80061,0,14,4,5,15,2,3,2,1,2,1,0,49,11.54,3,0,52,T
80062,0,6,1,2,5,1,1,3,0,2,1,0,22,13.64,0,0,22,T
80063,0,2,0,1,4,2,4,5,1,4,6,0,29,52.50,11,0,40,H
80064,2,6,2,2,6,1,3,7,5,5,1,0,40,20.93,3,0,43,T
80065,4,5,0,6,5,5,6,10,0,3,4,0,48,18.00,2,0,50,T
80066,3,17,2,7,12,1,3,7,0,2,4,0,58,11.86,1,0,59,T
80067,0,6,2,1,3,1,0,0,0,0,0,0,13,7.14,1,0,14,T
80068,0,1,2,0,3,0,2,2,0,0,0,0,10,33.33,5,0,15,T
80069,1,6,0,0,0,0,0,0,0,0,0,0,7,0.00,0,0,7,T
80070,1,5,0,4,3,3,1,2,0,3,1,0,23,17.39,0,0,23,T
80073,0,2,1,3,4,0,0,2,0,0,1,0,13,13.33,1,1,15,T
80074,3,11,0,0,0,0,0,0,0,0,0,0,14,6.67,1,0,15,T
80075,1,2,1,1,1,1,0,0,0,1,0,0,8,22.22,1,0,9,T
80077,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,1,5,6,T
80082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,17,17,T
80083,0,1,2,1,1,1,1,1,0,0,0,0,8,0.00,0,0,8,T
80084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,15,15,T
80085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,6,6,T
80087,4,4,0,0,0,0,0,0,0,0,0,0,8,7.14,1,5,14,T
80089,0,1,3,4,8,3,3,0,0,0,1,0,23,8.33,1,0,24,T
80090,0,0,1,1,4,0,2,2,3,0,1,0,14,18.75,2,0,16,T
80092,1,2,2,2,3,3,3,3,4,0,0,0,23,4.17,1,0,24,T
80093,1,1,1,4,5,4,0,2,3,0,0,0,21,4.55,1,0,22,T
80094,1,5,0,0,5,3,4,0,1,1,0,0,20,20.83,4,0,24,T
80095,0,1,0,1,2,0,2,2,1,1,2,0,12,35.71,2,0,14,T
80096,1,0,1,1,2,1,2,2,0,0,0,0,10,16.67,2,0,12,T
80097,0,4,3,2,3,2,1,3,0,0,2,0,20,18.18,2,0,22,T
80098,3,1,1,0,0,0,0,0,0,2,0,0,7,28.57,0,0,7,T
80099,3,2,0,2,5,3,2,3,0,2,0,0,22,9.09,0,0,22,T
80100,5,7,3,0,2,1,0,0,0,0,0,0,18,14.29,3,0,21,T
