CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
10002,1,0,4,6,8,5,5,7,5,6,9,0,56,28.81,2,1,59,T
10003,12,9,9,8,2,4,2,2,5,1,3,0,57,8.62,1,0,58,T
10004,2,4,13,5,7,10,5,1,3,3,2,0,55,16.67,5,0,60,T
10005,0,1,4,1,5,0,1,1,0,0,0,0,13,13.33,2,0,15,T
10007,2,0,2,1,0,0,3,0,0,0,0,0,8,11.11,1,0,9,T
10008,10,2,1,0,0,1,0,0,0,0,0,0,14,0.00,0,0,14,T
10010,10,26,38,33,59,38,57,34,20,5,6,0,326,5.12,6,0,332,T
10011,11,20,15,15,50,33,38,33,13,15,18,0,261,17.69,16,0,277,T
10012,1,4,4,5,7,2,8,7,1,2,1,0,42,17.02,5,0,47,T
10013,2,2,3,0,0,3,1,3,6,1,2,0,23,20.00,2,0,25,T
10014,0,0,2,2,6,1,1,3,2,0,1,0,18,37.04,9,0,27,T
10016,6,1,1,0,2,0,0,1,2,0,0,0,13,0.00,0,0,13,T
10017,2,2,2,4,5,3,5,2,4,2,0,0,31,14.71,3,0,34,T
10018,0,4,2,3,3,0,0,0,0,0,0,0,12,0.00,0,0,12,T
10020,11,3,0,0,0,0,0,0,0,0,1,0,15,6.67,0,0,15,T
10021,0,7,0,0,0,0,0,0,0,0,0,0,7,0.00,0,0,7,T
10022,2,2,2,0,3,0,0,0,0,0,0,0,9,10.00,1,0,10,T
10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,19,19,T
10030,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,31,31,T
10031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,26,26,T
10032,6,19,13,9,10,6,5,6,3,5,2,0,84,12.36,4,1,89,T
10033,3,2,2,0,4,3,3,6,6,3,0,0,32,8.33,0,4,36,T
10034,3,14,4,3,12,5,4,6,1,1,1,0,54,5.45,1,0,55,T
10036,0,7,0,0,0,0,0,0,0,0,0,0,7,0.00,0,0,7,T
10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,22,22,T
10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,19,19,T
10078,0,5,2,2,9,7,2,3,5,0,6,0,41,16.67,1,0,42,T
10081,1,7,7,0,18,6,2,22,2,2,4,0,71,20.48,11,1,83,T
10082,0,3,0,1,9,0,1,8,1,0,1,0,24,8.00,1,0,25,T
10086,0,6,2,2,4,0,1,2,0,3,2,0,22,29.17,2,0,24,T
10090,0,1,1,1,2,2,3,2,6,1,4,0,23,25.00,1,0,24,T
10091,1,1,6,6,3,3,0,2,1,0,0,0,23,4.17,1,0,24,T
10093,1,1,2,1,3,3,1,2,0,0,3,0,17,16.67,0,1,18,T
10094,1,0,1,3,2,3,0,0,1,2,1,0,14,31.25,2,0,16,T
10095,2,2,1,4,6,0,1,2,1,1,0,0,20,9.52,1,0,21,T
10098,0,0,3,1,3,3,4,1,0,6,1,0,22,37.50,2,0,24,T
10103,1,4,4,0,3,4,3,2,1,3,0,0,25,12.00,0,0,25,T
10105,0,0,0,3,2,4,1,1,0,2,2,0,15,38.89,3,0,18,T
10106,0,0,0,1,2,0,1,2,1,0,1,0,8,30.00,2,0,10,T
10108,1,4,2,5,2,0,3,3,2,2,0,0,24,8.33,0,0,24,T
10109,2,3,2,1,8,2,1,1,1,1,1,0,23,8.70,0,0,23,T
10110,0,3,1,2,2,3,1,3,1,1,3,0,20,20.00,0,0,20,T
10111,6,1,1,0,7,2,1,1,1,1,1,0,22,8.70,0,1,23,T
10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,319,319,T
10117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,61,61,T
10118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,25,25,T
10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,16,16,T
10120,1,2,4,3,3,2,0,0,0,0,0,0,15,31.82,7,0,22,T
10121,7,2,5,3,6,2,0,0,0,0,0,0,25,0.00,0,0,25,T
10122,0,2,3,4,3,3,2,4,1,0,0,0,22,4.17,1,1,24,T
10123,1,8,4,2,4,3,1,1,0,0,0,0,24,4.00,1,0,25,T
10124,0,3,4,4,3,3,3,1,0,0,1,0,22,16.00,3,0,25,T
10125,2,8,1,6,2,1,0,2,1,1,0,0,24,8.00,1,0,25,T
10126,2,5,3,4,3,4,2,0,2,0,0,0,25,0.00,0,0,25,T
10127,1,5,4,2,6,1,2,0,1,0,2,0,24,12.00,1,0,25,T
10128,1,4,5,1,0,1,1,0,2,3,4,0,22,40.00,3,0,25,T
10129,1,6,3,2,2,3,0,1,3,0,0,0,21,12.00,3,1,25,T
10130,0,5,3,4,5,2,1,3,0,0,0,0,23,0.00,0,0,23,T
10131,4,11,5,5,16,14,4,13,3,7,18,0,100,29.63,7,1,108,T
10132,2,10,3,3,13,5,4,10,2,5,10,0,67,26.39,4,1,72,T
10133,0,2,0,3,7,2,1,4,1,2,0,0,22,16.67,2,0,24,T
10134,0,3,5,1,3,0,0,0,1,1,0,0,14,7.14,0,0,14,T
10135,0,3,2,2,4,1,0,0,0,0,0,0,12,7.69,1,0,13,T
10137,8,19,3,4,11,1,1,4,0,2,1,0,54,7.27,1,0,55,T
10138,12,9,2,8,9,0,1,3,2,5,1,0,52,17.86,4,0,56,T
10139,2,7,2,1,7,0,0,3,0,0,1,0,23,4.35,0,0,23,T
10140,1,9,0,2,5,0,2,0,0,1,0,0,20,5.00,0,0,20,T
10141,2,3,1,2,8,5,3,4,3,3,7,0,41,33.33,6,1,48,T
10142,2,2,2,5,7,5,1,9,1,5,4,0,43,22.22,1,1,45,T
10143,1,6,0,1,3,2,2,2,0,1,2,0,20,14.29,0,1,21,T
10144,2,8,2,1,14,2,0,5,0,1,1,0,36,10.53,2,0,38,T
10145,2,4,0,0,2,1,0,0,0,0,0,0,9,0.00,0,0,9,T
10146,1,5,2,2,6,2,0,2,0,0,0,0,20,9.09,2,0,22,T
10147,3,3,2,2,6,3,4,2,0,0,8,0,33,34.21,5,0,38,T
10148,2,5,6,4,3,1,6,9,0,4,8,0,48,26.00,1,1,50,T
10149,0,9,1,0,2,0,0,4,0,1,1,0,18,11.11,0,0,18,T
10150,0,3,2,1,5,1,1,9,1,3,3,0,29,23.33,1,0,30,T
10151,0,31,11,5,41,7,6,10,5,0,2,0,118,1.69,0,0,118,T
