CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
10002,25,14,6,2,1,2,0,1,0,1,2,0,54,11.86,4,1,59,T
10003,0,2,5,4,4,4,6,0,1,11,0,0,37,42.22,8,0,45,T
10007,12,45,44,42,65,31,39,21,10,4,4,0,317,7.19,16,1,334,T
10008,5,7,7,4,7,4,2,4,2,0,0,0,42,4.55,2,0,44,T
10009,1,6,8,8,7,0,0,1,2,0,2,0,35,19.51,6,0,41,T
10011,3,6,0,1,0,0,0,0,0,0,1,0,11,9.09,0,0,11,T
10013,3,4,1,0,0,0,0,0,0,0,0,0,8,0.00,0,0,8,T
10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,29,29,T
10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,19,19,T
10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,34,34,T
10022,36,14,3,3,4,1,2,0,0,0,2,0,65,7.35,3,0,68,T
10023,9,16,5,12,8,4,3,2,2,1,0,0,62,7.46,4,1,67,T
10026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,21,21,T
10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,283,283,T
10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,62,62,T
10073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,13,13,T
10074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,26,26,T
10075,8,6,6,3,2,1,0,0,1,0,0,0,27,0.00,0,1,28,T
10076,7,13,3,4,1,0,0,0,0,0,0,0,28,3.45,1,0,29,T
10077,1,4,5,4,5,3,1,0,1,0,0,0,24,10.71,3,1,28,T
10078,0,2,6,2,4,1,1,0,1,1,0,0,18,39.29,10,0,28,T
10079,2,11,3,6,2,1,0,1,1,0,1,0,28,6.90,1,0,29,T
10080,0,2,1,7,4,1,4,3,1,0,1,0,24,14.81,3,0,27,T
10081,1,2,7,5,5,3,0,2,0,2,0,0,27,10.71,1,0,28,T
10082,0,7,10,3,2,1,1,2,0,1,1,0,28,7.14,0,0,28,T
10083,10,9,1,1,2,1,0,1,0,0,0,0,25,7.14,2,1,28,T
10084,0,0,1,3,5,5,5,1,2,0,0,0,22,18.52,5,0,27,T
10086,0,16,5,7,13,8,1,5,0,0,0,0,55,5.17,3,0,58,T
10087,4,23,5,2,10,4,4,2,0,2,0,0,56,10.00,4,0,60,T
10088,4,8,1,2,3,0,0,1,0,0,0,0,19,13.64,3,0,22,T
10089,1,5,0,2,3,0,2,0,0,0,1,0,14,27.78,4,0,18,T
10090,5,23,9,6,11,2,3,2,0,2,0,0,63,12.86,7,0,70,T
10091,1,4,2,1,4,0,4,3,1,0,2,0,22,44.74,15,1,38,T
10093,1,6,5,10,10,4,3,3,0,1,1,0,44,14.29,5,0,49,T
10094,1,11,3,4,14,4,5,5,0,2,2,0,51,17.54,6,0,57,T
10095,1,6,3,1,3,0,1,1,2,1,0,0,19,18.18,3,0,22,T
10097,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38,3,29,32,T
10103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,15,15,T
10114,1,2,7,4,14,11,0,2,0,0,1,0,42,2.38,0,0,42,T
10116,0,4,3,5,7,6,1,6,2,3,4,0,41,20.93,2,0,43,T
10117,1,9,6,3,8,6,3,2,4,0,1,0,43,2.27,0,1,44,T
10118,8,37,14,7,14,9,4,7,1,2,2,0,105,6.48,3,0,108,T
10119,9,21,13,24,15,15,4,1,2,0,0,0,104,0.95,1,0,105,T
10121,6,3,7,3,7,4,0,0,0,0,0,0,30,6.67,3,12,45,T
10123,2,9,6,4,9,8,7,9,6,8,9,0,77,36.17,17,0,94,T
10124,1,17,11,9,3,2,2,0,0,0,0,0,45,0.00,0,0,45,H
10125,3,13,14,8,2,1,1,0,0,0,1,0,43,6.67,2,0,45,T
10126,5,22,48,21,16,13,2,0,1,2,5,0,135,11.64,10,1,146,T
10127,0,5,15,7,6,5,5,1,1,0,0,0,45,0.00,0,0,45,T
10128,0,4,11,5,4,3,3,2,0,2,1,0,35,11.11,1,0,36,T
10129,5,10,13,5,4,2,1,1,2,0,1,0,44,4.44,1,0,45,T
10130,2,5,6,3,2,3,3,2,1,0,2,0,29,9.68,1,1,31,T
10131,4,8,19,5,6,1,2,0,0,0,0,0,45,2.17,1,0,46,T
10132,10,3,2,4,4,3,2,1,1,0,0,0,30,0.00,0,0,30,T
10133,0,14,8,12,7,3,0,1,0,0,0,0,45,0.00,0,0,45,T
10134,1,8,13,16,4,2,0,1,0,0,0,0,45,0.00,0,0,45,T
10135,0,8,8,11,14,4,1,1,0,0,0,0,47,0.00,0,0,47,T
10136,0,16,12,3,7,5,1,1,0,0,0,0,45,0.00,0,0,45,T
10137,5,15,5,7,7,4,0,0,0,0,0,0,43,0.00,0,1,44,T
10138,7,7,6,8,10,7,0,0,0,0,0,0,45,0.00,0,0,45,T
10139,1,3,3,13,7,3,3,2,1,0,3,0,39,12.20,2,0,41,T
10140,0,5,4,3,8,4,0,1,1,2,3,0,31,31.71,8,2,41,T
10141,1,1,1,4,4,2,2,2,0,0,0,0,17,34.62,9,0,26,T
10142,0,5,4,3,10,7,5,6,0,0,0,0,40,11.11,5,0,45,T
10144,0,4,3,3,4,0,1,1,0,0,0,0,16,0.00,0,0,16,T
10146,0,4,3,6,9,4,4,9,1,0,1,0,41,6.98,2,0,43,T
10148,0,7,3,0,2,0,1,2,2,0,1,0,18,29.17,6,0,24,T
10149,0,2,1,3,2,0,1,0,0,0,1,0,10,30.77,3,0,13,T
10150,4,5,5,2,3,1,3,0,0,2,0,0,25,23.33,5,0,30,T
10151,0,3,0,0,0,0,0,6,0,2,0,0,11,37.50,4,1,16,T
10152,1,5,1,2,2,1,0,1,2,0,1,0,16,26.09,5,2,23,T
10153,3,4,2,2,5,3,8,3,2,0,4,0,36,23.91,7,3,46,T
10154,0,1,0,1,0,2,4,0,0,0,2,0,10,33.33,2,0,12,T
10156,3,4,2,1,1,4,2,1,0,0,0,0,18,14.29,3,0,21,T
10157,1,9,4,6,1,3,2,2,0,0,1,0,29,15.15,4,0,33,T
10158,0,5,4,2,6,3,5,2,0,2,0,0,29,10.00,1,0,30,T
10159,1,15,7,9,4,3,2,1,1,0,0,0,43,0.00,0,0,43,T
10163,2,5,1,2,14,0,1,3,1,1,0,0,30,9.38,2,0,32,T
10167,1,7,0,1,3,0,0,0,0,0,0,0,12,0.00,0,0,12,T
10169,5,28,1,0,2,0,0,0,0,0,0,0,36,0.00,0,0,36,T
10178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,7,7,T
10184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,8,8,T
10186,0,12,10,7,6,3,1,2,1,3,0,0,45,6.67,0,0,45,T
10187,0,0,4,2,7,3,7,8,3,0,0,0,34,0.00,0,0,34,T
10189,0,11,5,7,9,4,4,4,0,2,1,0,47,12.00,3,0,50,T
10190,0,3,5,5,4,4,1,1,0,0,0,0,23,8.00,2,0,25,T
10196,0,9,0,0,10,0,0,9,0,4,0,0,32,40.43,15,0,47,T
10197,3,18,0,5,6,0,0,0,0,0,0,0,32,3.03,1,0,33,T
10198,0,8,0,12,8,2,5,2,0,4,1,0,42,11.90,0,0,42,T
10201,0,3,1,1,1,0,0,0,0,0,0,0,6,25.00,2,0,8,T
10218,0,21,1,3,0,0,0,0,0,0,1,0,26,3.85,0,0,26,T
10219,5,18,1,0,0,0,0,0,0,0,1,0,25,4.00,0,0,25,T
10220,3,12,7,2,1,1,0,0,0,0,0,0,26,0.00,0,0,26,T
10221,2,7,5,3,2,3,0,3,0,0,0,0,25,0.00,0,0,25,T
10222,2,9,3,0,2,2,1,3,0,0,2,0,24,12.00,1,0,25,T
10223,0,11,6,2,5,0,0,0,0,0,0,0,24,3.85,1,1,26,T
10224,2,2,2,2,1,2,0,3,0,0,5,0,19,41.67,5,0,24,T
10225,5,4,5,3,2,2,0,2,0,0,3,0,26,11.54,0,0,26,T
10226,0,1,5,3,5,5,0,1,0,1,0,0,21,16.67,3,0,24,T
10227,0,12,8,2,0,0,0,1,0,0,1,0,24,4.17,0,0,24,T
10228,3,4,9,1,2,1,0,1,2,0,0,0,23,0.00,0,2,25,T
10229,0,12,6,2,1,0,0,0,0,0,2,0,23,16.00,2,0,25,T
10230,15,6,0,0,0,0,1,0,0,1,2,0,25,12.00,0,0,25,T
10231,1,9,5,3,3,1,1,1,0,0,0,0,24,3.85,1,1,26,T
10232,1,13,1,1,1,1,0,1,0,0,5,0,24,24.00,1,0,25,T
10233,1,2,4,2,5,2,0,4,0,0,4,0,24,20.00,1,0,25,T
10234,2,12,7,1,1,0,0,0,0,0,1,0,24,8.00,1,0,25,T
10235,1,6,4,2,6,2,0,1,0,1,2,0,25,12.00,0,0,25,T
10236,1,15,4,2,0,1,1,0,0,0,1,0,25,4.00,0,0,25,T
10237,2,13,4,0,0,2,0,0,0,0,1,0,22,12.00,2,1,25,T
10238,4,17,0,0,0,1,0,0,0,0,0,0,22,0.00,0,0,22,T
10239,1,14,5,1,2,0,0,0,0,0,0,0,23,8.00,2,0,25,T
10240,0,11,1,4,3,4,0,0,0,1,0,0,24,11.54,2,0,26,T
10241,0,12,4,3,1,0,0,0,0,0,3,0,23,13.04,0,0,23,T
10242,7,18,0,0,0,0,0,0,0,0,0,0,25,0.00,0,0,25,T
10243,8,11,1,0,3,0,0,0,0,0,1,0,24,7.69,1,1,26,T
10244,3,8,6,1,1,0,0,0,0,0,0,0,19,4.17,1,4,24,T
10245,1,8,4,1,1,1,1,5,0,1,3,0,26,15.38,0,0,26,T
10246,0,6,0,2,1,5,0,2,0,3,3,0,22,36.00,3,0,25,T
10247,2,17,1,1,2,0,1,0,0,0,1,0,25,4.00,0,0,25,T
10248,5,15,0,0,2,0,0,1,0,0,1,0,24,8.00,1,0,25,T
10249,3,15,2,0,0,1,0,2,0,0,1,0,24,4.00,0,1,25,T
10250,2,13,6,2,1,0,0,0,0,0,0,0,24,4.00,1,0,25,T
10251,1,17,1,0,1,2,0,0,0,0,0,0,22,0.00,0,0,22,T
10252,8,9,1,0,2,3,0,0,0,2,0,0,25,11.54,1,0,26,T
10253,4,9,4,2,0,1,1,2,0,0,1,0,24,8.00,1,0,25,T
10254,0,3,2,3,4,4,1,2,0,2,3,0,24,24.00,1,0,25,T
10255,0,7,12,3,2,0,0,0,0,0,0,0,24,4.00,1,0,25,T
10256,1,4,3,5,9,0,0,1,0,0,1,0,24,8.00,1,0,25,T
10257,0,14,8,0,0,1,0,0,0,0,0,0,23,7.69,2,1,26,T
10258,7,12,1,0,0,0,1,1,0,1,2,0,25,12.00,0,0,25,T
10259,1,10,9,1,3,0,0,1,0,0,0,0,25,0.00,0,0,25,T
10260,2,9,3,3,3,3,0,1,0,0,0,0,24,4.00,1,0,25,T
10261,9,7,3,3,1,0,0,0,0,0,1,0,24,8.00,1,0,25,T
10262,0,5,4,5,3,2,0,2,0,0,3,0,24,16.00,1,0,25,T
10263,9,8,1,0,2,0,0,3,0,0,1,0,24,8.00,1,0,25,T
