CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
80001,12,6,1,2,2,1,0,1,0,0,0,0,25,0.00,0,0,25,T
80002,13,13,4,4,3,2,3,2,1,2,2,0,49,10.00,1,0,50,T
80003,2,10,1,6,17,1,0,10,0,1,1,0,49,6.00,1,0,50,T
80010,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,15,15,T
80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,19,19,T
80012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,20,20,T
80014,1,6,9,9,6,9,5,2,2,1,0,0,50,9.26,4,0,54,T
80015,3,11,4,5,9,2,2,12,0,2,4,0,54,20.00,6,0,60,T
80016,4,14,5,1,14,4,4,4,3,2,2,0,57,10.17,2,0,59,T
80018,1,7,0,0,0,0,0,0,0,0,0,0,8,0.00,0,0,8,T
80019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,23,23,T
80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,11,11,T
80053,1,10,2,3,3,0,1,0,0,0,0,0,20,4.76,1,0,21,T
80054,8,6,4,0,0,1,0,0,0,0,0,0,19,4.76,1,1,21,T
80055,3,10,3,2,0,0,0,0,0,0,0,0,18,0.00,0,0,18,T
80056,1,9,6,0,0,0,0,1,0,0,0,0,17,0.00,0,0,17,T
80057,0,9,4,1,2,1,0,0,0,0,0,0,17,0.00,0,1,18,T
80058,0,9,0,0,3,0,0,2,0,1,0,0,15,11.76,1,1,17,T
80059,2,7,3,7,5,1,6,3,2,4,2,1,43,26.00,6,1,50,T
80060,1,2,2,0,1,1,0,1,0,1,1,0,10,20.00,0,0,10,T
80062,0,8,5,0,2,0,0,0,0,0,0,0,15,0.00,0,0,15,T
80067,3,5,0,1,3,4,2,6,2,0,3,0,29,18.75,3,0,32,T
80068,0,5,1,2,8,0,2,8,3,7,22,0,58,60.81,16,0,74,T
80073,6,9,4,6,6,4,2,3,1,4,2,0,47,16.33,2,0,49,T
80074,2,10,3,0,2,0,0,3,0,1,2,0,23,16.67,1,0,24,T
80075,0,4,3,1,10,3,5,8,4,4,1,0,43,19.15,4,0,47,T
80076,2,3,0,2,3,0,0,0,2,0,0,0,12,0.00,0,0,12,T
80077,7,9,0,3,1,2,0,5,2,2,0,0,31,9.09,1,1,33,T
80080,1,6,0,4,5,3,5,7,0,4,5,0,40,31.11,5,0,45,T
80081,9,11,1,1,3,1,5,6,0,3,4,0,44,20.83,3,1,48,T
80082,0,6,0,3,1,1,0,0,0,0,0,0,11,8.33,1,0,12,T
80083,3,11,2,0,1,1,1,1,0,0,0,0,20,4.76,1,0,21,T
80084,0,9,6,8,32,13,4,13,4,3,0,0,92,4.21,1,2,95,T
80086,7,3,6,0,1,0,2,0,0,1,1,0,21,13.64,1,0,22,T
80089,0,8,0,3,5,0,1,2,0,0,0,0,19,13.04,3,1,23,T
80090,0,1,3,6,9,0,1,1,0,0,0,0,21,0.00,0,0,21,T
