CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
10001,4,13,33,4,1,0,0,0,0,0,0,0,55,8.33,5,0,60,T
10003,39,2,0,0,1,1,0,0,1,0,1,0,45,4.35,1,0,46,T
10004,0,0,2,0,1,1,0,1,0,0,0,0,5,14.29,1,1,7,T
10007,12,4,2,1,4,0,0,0,0,0,0,0,23,4.00,1,1,25,T
10009,7,23,18,20,53,24,51,45,33,29,10,0,313,16.92,17,1,331,T
10011,0,12,6,2,5,3,2,3,4,1,1,0,39,15.91,5,0,44,T
10012,0,0,3,0,1,1,1,3,4,5,1,0,19,45.83,5,0,24,T
10015,6,4,2,1,0,0,0,0,0,0,0,0,13,7.14,1,0,14,T
10018,2,3,2,1,2,0,0,0,0,0,0,0,10,0.00,0,0,10,T
10020,2,5,5,1,1,0,0,0,0,0,0,0,14,6.67,1,0,15,T
10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,12,12,T
10025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,36,36,T
10026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,7,7,T
10028,23,5,10,10,4,3,1,2,1,1,4,0,64,10.61,2,0,66,T
10029,9,23,6,4,9,1,1,9,1,0,0,0,63,1.54,1,1,65,T
10030,4,3,0,0,0,0,0,0,0,0,0,0,7,0.00,0,0,7,T
10032,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,1,11,12,T
10036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,8,8,T
10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,272,272,T
10079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,60,60,T
10080,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,18,18,T
10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,19,19,T
10082,1,5,6,2,2,1,0,2,2,0,0,0,21,8.33,2,1,24,T
10083,14,6,5,0,0,0,0,0,1,0,2,0,28,7.14,0,0,28,T
10084,0,3,2,3,9,4,1,4,0,0,0,0,26,3.70,1,0,27,T
10085,4,1,1,1,3,5,2,2,3,1,1,0,24,18.52,3,0,27,T
10086,1,3,3,4,6,4,2,2,1,0,1,0,27,6.90,1,1,29,T
10087,1,4,6,2,5,0,4,3,1,0,1,0,27,10.34,2,0,29,T
10088,0,4,5,4,8,2,1,2,1,1,0,0,28,6.90,1,0,29,T
10089,0,1,2,2,5,4,2,2,3,2,0,1,24,16.00,1,0,25,T
10090,1,8,5,4,5,3,1,0,1,0,0,0,28,3.45,1,0,29,T
10091,0,3,8,2,2,3,2,0,1,0,0,0,21,22.22,6,0,27,T
10092,0,6,1,1,16,5,10,20,1,11,18,0,89,42.31,15,0,104,T
10094,3,7,2,7,15,1,3,8,2,2,2,0,52,10.91,2,1,55,T
10095,5,7,3,0,11,2,3,8,2,7,2,0,50,24.07,4,0,54,T
10096,7,11,1,1,4,0,0,2,0,0,0,0,26,0.00,0,0,26,T
10097,0,12,2,2,4,0,0,2,1,0,0,0,23,0.00,0,0,23,T
10098,5,7,2,5,10,6,3,7,1,8,10,0,64,33.80,6,1,71,T
10100,0,4,1,0,5,2,1,7,0,3,1,0,24,18.52,1,2,27,T
10102,4,7,1,2,8,1,4,6,0,5,5,0,43,30.61,5,1,49,T
10103,5,6,2,4,8,4,2,12,0,8,9,0,60,32.81,4,0,64,T
10104,3,8,2,2,3,1,0,0,0,0,0,0,19,13.64,3,0,22,T
10107,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,1,52,53,T
10113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,26,26,T
10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,33,33,T
10125,11,17,10,19,10,15,10,11,4,8,2,0,117,9.17,1,2,120,T
10126,1,6,4,3,0,1,0,0,0,0,0,0,15,0.00,0,0,15,T
10127,57,25,13,9,5,2,1,2,0,1,3,0,118,5.00,2,0,120,T
10128,2,6,4,2,6,6,1,5,4,4,3,0,43,20.00,2,0,45,T
10129,0,4,1,0,7,7,0,9,7,6,3,0,44,22.22,1,0,45,T
10130,8,19,11,8,22,14,5,18,3,2,5,0,115,10.00,5,0,120,T
10131,5,4,3,9,6,2,6,1,2,3,2,0,43,13.33,1,1,45,T
10132,1,7,5,6,12,6,3,3,1,0,0,0,44,11.86,7,8,59,T
10133,5,9,2,11,4,3,1,3,0,0,0,0,38,9.52,4,0,42,T
10134,3,7,4,6,8,6,3,3,2,2,0,0,44,4.44,0,1,45,T
10135,1,6,6,6,9,3,1,3,2,3,4,0,44,17.78,1,0,45,H
10136,2,3,9,12,6,11,1,1,0,0,0,0,45,0.00,0,1,46,T
10137,1,48,46,24,18,4,4,0,0,1,0,0,146,2.68,3,0,149,T
10138,0,4,11,5,13,4,3,0,2,1,0,0,43,4.55,1,0,44,T
10139,2,14,11,12,0,6,1,0,0,0,0,0,46,0.00,0,0,46,T
10140,4,13,7,9,0,5,0,5,0,0,0,0,43,2.22,1,1,45,T
10141,0,3,3,9,4,8,1,4,3,0,4,0,39,16.28,3,1,43,T
10142,1,0,12,8,9,3,4,2,1,0,1,0,41,4.76,1,0,42,T
10143,5,6,5,4,7,2,1,0,1,0,0,0,31,0.00,0,0,31,T
10144,5,7,8,10,8,3,1,2,2,0,2,0,48,4.17,0,0,48,T
10145,1,5,6,8,12,9,4,0,0,1,0,0,46,2.17,0,0,46,T
10146,2,3,3,4,3,8,5,9,4,0,0,0,41,0.00,0,0,41,T
10147,3,9,8,7,9,7,1,0,1,0,0,0,45,0.00,0,0,45,T
10148,2,5,1,8,10,9,4,4,4,0,0,0,47,0.00,0,0,47,T
10149,1,5,12,10,8,3,2,3,1,0,1,0,46,2.17,0,0,46,T
