CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
80001,7,4,0,1,0,1,0,0,1,0,0,0,14,0.00,0,0,14,T
80005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,22,22,T
80006,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,1,21,22,T
80007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,25,25,T
80012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,29,29,T
80046,2,8,3,0,2,0,0,5,0,1,1,0,22,9.09,0,0,22,T
80047,0,3,7,6,3,1,0,0,0,0,1,0,21,9.09,1,0,22,T
80048,2,8,0,1,1,1,0,0,0,0,0,0,13,11.76,2,2,17,T
80049,0,2,2,4,0,3,2,2,0,2,0,0,17,16.67,1,0,18,T
80050,0,2,1,2,0,3,3,1,3,0,1,0,16,6.25,0,0,16,T
80051,2,8,0,1,0,2,0,2,0,1,1,0,17,11.76,0,0,17,T
80052,2,8,5,3,4,5,5,8,3,6,9,0,58,27.42,2,2,62,T
80057,2,13,4,9,18,21,22,5,1,2,1,0,98,16.52,16,1,115,T
80058,3,5,2,0,3,1,3,8,0,4,3,0,32,28.57,3,0,35,H
80059,2,11,1,0,4,1,0,0,0,2,0,0,21,17.39,2,0,23,T
80060,1,5,4,3,14,5,3,7,1,8,2,0,53,24.14,4,1,58,H
80061,6,8,7,6,5,1,2,4,0,2,0,0,41,13.33,4,0,45,T
80062,1,7,6,5,2,3,5,11,0,3,5,0,48,20.00,2,0,50,T
80063,3,11,1,5,6,1,5,12,0,8,3,0,55,26.67,5,0,60,T
80064,1,0,1,1,0,1,1,0,0,1,1,0,7,40.00,2,1,10,T
80065,0,4,2,2,4,3,4,1,0,0,0,0,20,16.67,4,0,24,T
80066,0,4,0,0,0,0,0,0,0,0,0,0,4,16.67,1,1,6,T
80067,6,5,2,2,0,1,1,4,0,0,0,0,21,4.55,1,0,22,T
80070,1,5,2,1,3,1,2,3,0,1,1,0,20,13.64,1,1,22,T
80071,1,13,0,0,0,0,0,0,0,0,0,0,14,6.67,1,0,15,T
80072,3,1,1,2,1,0,0,0,0,0,0,0,8,10.00,1,1,10,T
80074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,9,9,T
80079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,21,21,T
80084,0,5,6,4,1,0,2,0,0,0,0,0,18,0.00,0,1,19,T
80086,0,3,0,2,5,3,3,1,2,2,1,0,22,17.39,1,0,23,T
80087,0,1,0,0,1,1,1,6,0,2,2,0,14,31.25,1,1,16,T
80089,1,2,4,1,10,4,2,0,0,0,0,0,24,0.00,0,0,24,T
80090,1,5,2,0,4,4,1,4,0,1,1,0,23,8.70,0,0,23,T
80091,2,5,3,1,3,1,1,3,2,0,2,0,23,12.50,1,0,24,T
80092,0,0,0,0,0,1,1,3,1,1,4,0,11,57.14,3,0,14,T
80093,1,0,1,0,1,0,1,3,1,0,0,0,8,33.33,4,0,12,T
80095,0,0,1,1,1,1,1,0,0,1,7,0,13,66.67,2,0,15,T
80097,1,1,4,0,3,0,2,6,2,0,1,0,20,13.64,2,0,22,T
80098,1,0,1,2,2,3,2,3,4,1,2,0,21,18.18,1,0,22,T
80100,1,1,0,2,7,3,5,3,3,2,3,0,30,24.24,3,0,33,T
80101,3,4,4,1,7,5,4,14,2,0,1,0,45,4.35,1,0,46,T
80102,1,3,3,3,10,3,9,8,2,1,1,0,44,6.67,1,0,45,T
80104,4,14,7,4,16,12,10,44,28,3,38,0,180,33.02,29,3,212,T
80105,2,8,2,6,3,8,3,3,3,2,1,0,41,6.82,0,3,44,T
80106,9,12,14,5,2,2,1,0,0,0,0,0,45,10.00,5,0,50,T
80109,12,15,3,8,8,2,7,9,5,0,11,0,80,19.77,6,0,86,T
80115,2,4,5,2,2,0,0,0,0,0,0,0,15,0.00,0,1,16,T
80116,1,18,1,0,0,0,0,0,0,0,0,0,20,4.55,1,1,22,T
80139,3,1,3,0,3,5,5,4,1,0,5,0,30,23.53,3,1,34,T
80142,0,8,4,5,4,0,1,2,0,1,0,0,25,4.00,0,0,25,T
80143,3,15,0,5,7,0,7,4,0,2,5,0,48,18.00,2,0,50,T
80144,9,13,2,4,1,2,2,0,0,2,0,0,35,8.11,1,1,37,T
80145,4,7,7,5,10,6,6,5,0,0,0,0,50,1.96,1,0,51,T
80164,2,7,1,1,0,0,0,0,0,0,0,0,11,0.00,0,0,11,T
80165,1,10,1,0,0,0,0,0,0,0,0,0,12,0.00,0,0,12,T
80167,0,1,6,0,4,3,0,5,0,4,0,0,23,20.83,1,0,24,T
80168,0,11,2,1,2,1,0,0,0,1,4,0,22,20.83,0,2,24,T
80169,0,1,1,0,2,0,0,6,2,0,2,0,14,33.33,4,0,18,T
80170,0,14,2,1,4,0,0,2,0,0,1,0,24,8.00,1,0,25,T
80171,0,6,7,2,2,0,0,0,0,0,4,0,21,22.73,1,0,22,T
80172,0,8,5,2,4,0,1,3,0,0,1,0,24,4.00,0,1,25,T
80173,0,12,5,2,3,0,1,0,0,0,2,0,25,8.00,0,0,25,T
80174,0,4,6,7,2,4,0,1,0,0,0,0,24,4.00,1,0,25,T
80175,1,8,8,0,0,1,0,1,0,1,5,0,25,24.00,0,0,25,T
80176,1,7,3,4,4,1,0,1,0,1,1,0,23,12.50,1,0,24,T
80177,4,7,4,2,3,1,2,0,0,0,0,0,23,8.00,2,0,25,T
80178,0,7,2,1,1,3,1,3,0,4,2,0,24,28.00,1,0,25,T
80179,0,9,6,1,1,3,0,0,0,2,2,0,24,20.00,1,0,25,T
80180,3,5,5,3,3,0,0,0,0,1,3,0,23,24.00,2,0,25,T
80181,0,20,1,0,1,0,0,0,0,0,0,0,22,0.00,0,0,22,T
80182,7,3,2,2,2,1,0,0,0,0,2,0,19,12.00,1,5,25,H
80183,1,7,4,3,3,1,2,3,0,1,0,0,25,4.00,0,0,25,T
80184,1,9,4,4,1,3,0,0,0,0,1,0,23,12.00,2,0,25,T
80185,2,9,2,3,2,1,0,0,0,0,3,0,22,16.67,1,1,24,T
80186,3,17,4,0,0,0,0,0,0,0,1,0,25,4.00,0,0,25,T
80187,2,4,5,1,4,0,0,4,0,1,3,0,24,20.00,1,0,25,T
80188,0,4,4,1,1,0,2,1,1,0,2,0,16,30.00,4,0,20,T
80189,0,14,4,3,0,0,0,0,0,0,3,0,24,16.00,1,0,25,T
80190,2,12,4,1,0,1,2,1,1,0,0,0,24,0.00,0,1,25,T
80191,0,15,2,0,1,1,0,2,0,1,1,0,23,19.23,3,0,26,T
80192,0,1,9,7,6,0,0,0,0,1,0,0,24,8.00,1,0,25,T
80193,0,2,3,4,1,0,5,0,1,1,0,0,17,14.29,2,2,21,T
80194,4,13,1,1,0,0,0,1,0,1,1,0,22,16.00,2,1,25,T
80195,2,6,4,1,0,1,1,0,0,2,6,0,23,36.00,1,1,25,T
80196,2,4,2,3,4,2,2,1,0,1,2,0,23,16.67,1,0,24,T
80197,0,5,1,2,3,1,0,6,0,0,2,0,20,20.83,3,1,24,T
80198,0,8,10,3,1,1,0,0,0,0,1,0,24,8.00,1,0,25,T
80199,0,6,4,2,4,2,0,3,0,1,0,0,22,12.50,2,0,24,T
80200,0,7,7,4,0,0,0,0,0,0,5,0,23,25.00,1,0,24,T
80201,4,10,2,3,1,0,2,2,0,0,1,0,25,7.69,1,0,26,T
80202,0,13,3,1,3,0,0,0,0,0,0,0,20,0.00,0,0,20,T
80203,0,6,4,2,1,1,1,0,0,0,0,0,15,5.88,1,1,17,T
80204,2,3,5,2,2,1,1,0,1,0,0,0,17,5.56,1,0,18,T
80205,2,3,2,3,2,2,0,1,0,0,2,0,17,16.67,1,0,18,T
80206,0,3,2,0,0,1,1,0,0,0,1,0,8,22.22,1,0,9,T
80207,0,14,2,6,6,1,0,0,0,0,0,0,29,3.33,1,0,30,T
80208,0,1,2,7,9,1,1,3,0,0,2,0,26,17.24,3,0,29,T
80209,0,7,3,7,7,2,0,3,0,0,0,0,29,3.33,1,0,30,T
80210,0,5,9,7,3,1,1,0,0,1,0,0,27,13.33,3,0,30,T
80211,0,4,2,3,8,1,1,2,0,0,0,0,21,16.00,4,0,25,T
80212,4,7,1,0,2,2,0,1,0,0,1,0,18,15.00,2,0,20,T
80213,5,3,1,1,0,0,0,1,0,0,2,0,13,13.33,0,2,15,H
80221,2,5,3,2,3,1,0,3,2,0,1,0,22,8.70,1,0,23,T
80222,3,2,3,4,3,1,0,2,0,1,0,1,20,13.64,1,1,22,T
80224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,11,11,T
80235,5,3,1,7,5,4,0,1,1,0,0,0,27,3.57,1,0,28,T
80236,3,3,3,4,10,1,1,2,0,0,1,0,28,3.57,0,0,28,T
80237,0,5,7,5,1,2,2,4,0,0,1,0,27,3.70,0,0,27,T
80238,3,7,4,3,3,0,1,0,1,1,0,0,23,8.33,1,0,24,T
80239,2,2,7,6,4,0,1,0,1,0,0,0,23,4.17,1,0,24,T
80240,0,1,5,6,7,5,2,0,1,0,0,0,27,3.57,1,0,28,T
80241,0,4,2,2,7,3,4,4,1,0,0,0,27,0.00,0,1,28,T
80242,4,2,12,1,5,1,0,2,0,0,0,0,27,6.90,2,0,29,T
80243,0,4,15,2,4,1,0,0,0,0,1,0,27,7.14,1,0,28,T
80244,10,17,6,3,9,1,1,1,4,5,0,0,57,13.33,3,0,60,T
80253,1,7,2,1,3,2,0,0,1,0,1,0,18,19.05,3,0,21,T
80254,1,8,0,3,4,2,0,1,0,0,0,0,19,4.76,1,1,21,T
80255,1,4,3,3,5,4,2,0,0,0,2,0,24,15.38,2,0,26,T
80257,4,3,3,2,3,2,1,0,1,1,3,0,23,17.39,0,0,23,T
80258,9,4,2,1,1,1,1,0,0,1,1,0,21,13.64,1,0,22,T
80259,5,3,4,3,2,0,1,1,0,2,2,0,23,17.39,0,0,23,T
80260,0,9,1,1,1,0,0,0,0,0,0,0,12,0.00,0,0,12,T
80261,0,5,8,5,1,3,0,0,0,0,0,0,22,0.00,0,0,22,T
80262,3,14,11,3,6,1,0,2,1,1,2,0,44,8.70,1,1,46,T
80263,4,8,7,2,1,0,0,2,0,0,0,0,24,4.00,1,0,25,T
80264,3,9,0,0,5,0,0,0,1,1,1,0,20,10.00,0,0,20,T
80265,0,0,9,4,3,3,4,2,0,1,0,0,26,10.71,2,0,28,T
80266,2,8,7,4,9,1,3,4,1,2,2,0,43,11.11,1,1,45,T
80267,5,10,7,0,2,1,0,2,1,4,4,0,36,26.32,2,0,38,T
80268,0,2,2,6,8,3,0,1,1,0,1,0,24,11.54,2,0,26,T
80269,14,13,9,3,1,0,2,0,0,0,2,0,44,10.64,3,0,47,T
80270,1,1,2,2,11,1,1,0,0,2,0,0,21,9.52,0,0,21,T
80271,0,1,3,2,5,5,1,3,1,0,2,0,23,8.33,0,1,24,T
80272,0,6,3,3,9,8,1,10,0,2,1,0,43,8.70,1,2,46,T
80273,0,1,1,3,8,3,4,4,3,1,6,0,34,21.62,1,2,37,T
80274,0,1,1,4,0,0,0,0,0,0,1,0,7,14.29,0,0,7,T
80279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,23,23,T
80280,0,12,2,2,0,1,0,0,1,0,1,0,19,14.29,2,0,21,T
80282,9,5,4,5,9,8,3,8,3,1,3,0,58,9.84,2,1,61,T
80283,1,0,2,1,1,0,0,1,1,2,0,0,9,18.18,0,2,11,T
80284,1,1,2,2,4,5,5,17,0,4,0,0,41,15.56,3,1,45,T
80285,3,16,6,5,8,1,1,5,0,1,3,0,49,8.16,0,0,49,T
80287,18,2,0,0,0,0,0,0,0,0,0,0,20,4.76,1,0,21,T
80290,3,4,3,2,0,1,0,2,0,3,0,0,18,16.67,0,0,18,T
80305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,63,63,T
80306,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,26,26,T
80307,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,10,10,T
80309,1,2,3,1,4,4,0,5,0,0,3,0,23,16.67,1,0,24,T
80310,9,6,5,3,5,3,3,3,0,1,6,0,44,17.02,1,2,47,T
80311,1,1,2,2,2,1,2,8,0,2,0,0,21,13.04,1,1,23,T
80312,2,7,3,0,3,3,2,7,0,2,4,0,33,20.59,1,0,34,T
80313,1,0,1,7,6,2,2,5,0,7,8,0,39,57.63,19,1,59,E
80314,6,1,3,1,1,3,1,4,0,3,2,0,25,23.08,1,0,26,T
80315,11,3,0,2,6,1,1,2,0,1,2,0,29,21.21,4,0,33,T
80316,9,5,1,4,3,4,1,2,0,2,0,0,31,12.12,2,0,33,T
80317,6,2,3,5,4,2,2,5,0,0,1,0,30,12.12,3,0,33,T
80318,6,5,4,6,4,4,0,6,0,3,2,0,40,21.28,5,2,47,T
80319,9,3,0,1,10,0,3,6,0,4,1,0,37,24.44,6,2,45,T
80320,1,0,0,0,5,2,0,1,0,4,1,0,14,40.00,1,0,15,T
80321,3,3,2,2,8,1,4,4,0,2,3,1,33,22.86,2,0,35,T
80322,3,7,1,2,4,2,0,5,0,1,1,0,26,7.69,0,0,26,T
80323,1,1,0,0,2,0,0,1,0,0,1,0,6,16.67,0,0,6,T
80324,1,1,6,2,8,1,0,1,0,0,0,0,20,0.00,0,0,20,T
80325,0,0,1,0,1,0,1,3,0,3,2,0,11,66.67,7,0,18,T
80327,4,2,2,2,2,1,0,1,0,0,0,0,14,6.67,1,0,15,T
80329,2,2,0,0,1,0,0,0,0,0,0,0,5,16.67,1,0,6,T
80330,2,1,0,1,1,1,0,0,0,0,0,0,6,0.00,0,0,6,T
80334,2,16,16,11,26,15,10,11,3,4,4,0,118,8.33,2,0,120,T
80337,0,7,0,0,0,0,0,0,0,0,0,0,7,0.00,0,0,7,T
80338,0,12,0,0,0,0,0,0,0,0,0,0,12,0.00,0,0,12,T
80340,9,1,0,0,0,1,1,0,0,0,0,0,12,0.00,0,0,12,T
80341,4,0,2,0,0,0,0,0,0,0,2,0,8,33.33,1,0,9,T
80344,2,19,0,0,0,0,0,0,0,0,0,0,21,8.70,2,0,23,T
80345,4,3,1,1,5,3,1,2,0,2,6,0,28,33.33,2,0,30,T
80346,2,6,2,3,2,1,0,4,0,0,0,0,20,9.09,2,0,22,T
80347,1,0,2,1,3,1,0,0,0,0,1,0,9,27.27,2,0,11,T
80348,1,1,3,2,1,0,0,0,0,0,0,0,8,33.33,4,0,12,T
80349,1,2,0,1,1,1,1,1,0,1,1,0,10,33.33,2,0,12,T
80350,1,2,0,0,0,1,3,0,0,0,1,0,8,33.33,3,1,12,T
80351,2,3,0,2,0,1,0,1,0,2,1,0,12,25.00,0,0,12,T
80352,0,3,0,2,1,2,1,0,0,0,0,0,9,0.00,0,1,10,T
80353,0,2,2,2,9,2,0,5,0,2,0,0,24,12.00,1,0,25,T
80354,0,3,0,0,0,0,1,2,0,1,1,0,8,25.00,0,0,8,T
80355,1,4,1,1,2,1,1,5,1,3,1,0,21,19.05,0,0,21,T
80356,1,5,2,2,0,0,0,0,0,0,0,0,10,0.00,0,0,10,T
80357,2,0,0,1,2,0,2,0,0,0,0,0,7,0.00,0,0,7,T
80358,3,0,0,1,1,0,4,3,0,0,1,0,13,7.69,0,0,13,T
80360,0,3,0,1,0,0,2,0,0,0,0,1,7,14.29,0,0,7,T
80362,1,9,0,0,0,0,0,0,0,0,0,0,10,0.00,0,3,13,T
80367,0,7,0,0,0,0,0,0,0,0,0,0,7,0.00,0,0,7,T
80369,1,4,0,4,2,4,0,0,0,0,0,0,15,0.00,0,0,15,T
80371,0,5,0,0,2,0,0,3,0,1,0,0,11,21.43,2,1,14,T
80372,1,5,3,0,0,2,1,1,1,0,0,0,14,0.00,0,0,14,T
80373,3,4,3,0,6,0,0,0,0,0,0,0,16,0.00,0,1,17,T
80379,2,10,0,0,0,0,0,0,0,0,0,0,12,0.00,0,0,12,T
