CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
10001,3,11,9,6,8,4,1,4,1,1,10,0,58,28.99,9,2,69,E
10003,2,3,2,2,0,2,0,0,0,0,1,0,12,7.69,0,1,13,E
10005,3,71,37,39,46,26,28,21,10,11,11,0,303,12.23,18,6,327,E
10006,3,4,5,1,5,7,4,6,3,0,4,0,42,13.64,2,0,44,T
10007,4,6,6,0,12,3,1,4,2,0,4,0,42,15.56,3,0,45,F
10009,9,4,2,0,0,0,0,0,0,0,0,0,15,0.00,0,0,15,T
10011,1,3,2,0,1,0,0,0,0,0,0,0,7,0.00,0,0,7,T
10016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,19,19,H
10019,11,15,8,7,5,2,4,3,3,2,0,0,60,6.45,2,0,62,E
10020,6,16,5,2,10,6,5,7,0,2,1,0,60,6.45,1,1,62,E
10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,24,24,H
10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,2,321,323,T
10069,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,1,53,54,T
10070,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,18,18,T
10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,20,20,T
10072,3,9,6,4,2,0,1,2,1,0,2,0,30,26.32,8,0,38,F
10073,0,1,4,7,4,5,1,1,0,1,4,0,28,37.84,9,0,37,F
10074,1,9,9,5,2,0,3,1,2,1,1,0,34,15.79,4,0,38,F
10075,4,7,9,3,4,1,1,0,0,1,2,0,32,23.68,6,0,38,F
10076,0,4,9,7,2,5,2,1,1,0,3,0,34,18.42,4,0,38,F
10077,1,6,7,6,4,1,1,0,2,1,2,0,31,26.32,7,0,38,F
10078,0,0,3,3,4,7,3,5,0,1,3,0,29,34.21,9,0,38,F
