CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
80001,3,10,1,1,3,0,0,0,0,0,1,0,19,5.26,0,0,19,T
80005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,9,9,T
80012,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,1,25,26,T
80016,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,1,10,11,T
80046,2,4,1,6,2,1,0,0,0,1,1,0,18,15.00,1,1,20,T
80047,2,7,3,6,1,0,0,0,0,0,0,0,19,5.00,1,0,20,T
80048,1,3,2,2,6,0,0,2,0,2,0,0,18,20.00,2,0,20,T
80049,1,15,0,0,1,0,0,0,0,0,0,0,17,5.56,1,0,18,T
80051,1,4,6,2,2,0,0,0,0,0,0,0,15,5.88,1,1,17,T
80052,12,31,10,3,6,2,4,4,2,7,14,0,95,22.55,2,5,102,T
80057,3,9,3,8,15,11,9,25,6,4,0,0,93,22.22,22,2,117,T
80058,1,12,4,7,5,3,2,5,2,1,4,0,46,14.58,2,0,48,H
80059,1,13,2,0,4,1,0,1,1,0,0,0,23,0.00,0,0,23,T
80060,0,13,5,4,15,4,2,5,0,2,3,0,53,21.31,8,0,61,E
80062,6,7,7,3,7,2,4,3,2,3,4,0,48,18.00,2,0,50,T
80063,4,6,3,1,9,5,5,7,2,6,8,0,56,32.26,6,0,62,T
80064,1,5,0,0,1,0,0,1,0,0,0,0,8,11.11,1,0,9,T
80065,0,8,1,3,6,1,0,2,0,0,0,0,21,0.00,0,0,21,T
80067,11,7,4,2,1,2,1,0,0,0,0,0,28,0.00,0,0,28,T
80070,0,5,1,1,0,0,2,0,0,0,0,0,9,9.09,1,1,11,T
80072,0,1,1,2,1,0,0,0,0,0,0,0,5,16.67,1,0,6,T
80074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,8,8,T
80084,3,4,1,0,1,1,1,0,0,0,0,0,11,38.89,7,0,18,T
80094,1,2,0,1,1,1,3,4,0,0,5,0,18,36.36,3,1,22,T
80095,2,5,3,1,2,2,3,1,0,4,1,0,24,20.83,0,0,24,T
80096,2,2,0,0,4,1,1,1,3,1,6,0,21,41.67,3,0,24,T
80098,2,3,2,1,4,1,2,2,2,1,2,0,22,17.39,1,0,23,T
80099,0,0,1,2,3,5,2,2,1,2,2,0,20,30.43,3,0,23,T
80100,1,0,1,0,3,5,0,6,0,0,2,0,18,30.43,5,0,23,T
80101,0,2,1,3,2,2,2,4,1,2,1,0,20,26.09,3,0,23,T
