CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
10002,46,9,0,1,0,0,1,0,0,2,0,0,59,5.00,1,0,60,T
10003,0,2,0,3,8,12,1,4,4,7,6,0,47,38.60,9,1,57,T
10004,4,22,10,6,8,1,0,2,1,0,2,0,56,6.67,2,2,60,T
10005,1,3,2,1,1,0,0,0,0,0,0,0,8,0.00,0,1,9,T
10006,2,1,1,1,2,1,0,0,0,0,2,0,10,25.00,1,1,12,T
10007,5,2,1,1,0,1,1,1,0,0,0,0,12,14.29,2,0,14,T
10008,8,7,2,7,3,2,0,1,1,0,2,0,33,8.33,1,2,36,T
10010,8,27,14,21,54,31,54,46,35,27,7,0,324,12.28,7,3,334,T
10011,5,8,3,6,24,19,34,33,18,17,16,0,183,23.12,13,3,199,T
10012,1,8,3,4,8,4,2,3,3,1,2,0,39,10.00,1,0,40,T
10013,3,6,1,4,8,3,2,3,3,0,1,0,34,5.71,1,0,35,T
10014,4,5,1,5,8,8,5,5,1,2,0,0,44,6.67,1,0,45,T
10016,6,1,0,0,1,1,0,1,0,0,0,0,10,9.09,1,0,11,T
10017,1,1,1,1,2,4,2,3,3,2,0,0,20,13.64,1,1,22,T
10019,11,2,0,0,2,1,0,0,0,0,0,0,16,0.00,0,0,16,T
10020,1,4,0,2,0,0,0,0,0,0,0,0,7,0.00,0,0,7,T
10021,2,6,3,0,2,0,1,0,0,0,0,0,14,0.00,0,0,14,T
10027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,10,10,T
10028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,30,30,T
10029,7,18,1,2,6,6,4,7,3,5,5,0,64,21.74,5,0,69,T
10030,4,9,4,2,3,4,1,3,0,2,0,0,32,13.89,3,1,36,T
10031,7,17,4,4,7,3,3,5,0,0,4,0,54,13.79,4,0,58,T
10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,23,23,T
10038,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,9,9,T
10075,8,9,1,9,5,0,0,0,0,0,0,0,32,0.00,0,0,32,T
