CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
92072,0,14,0,0,5,0,0,2,0,0,4,1,26,30.00,4,0,30,NULL
92073,0,10,0,0,10,0,0,2,0,0,5,0,27,26.67,3,0,30,NULL
92074,5,12,11,3,1,0,0,2,0,1,1,0,36,5.56,0,0,36,T
92079,0,10,0,0,7,0,0,5,0,0,2,0,24,24.14,5,0,29,NULL
92080,0,4,0,0,2,0,0,7,0,1,0,0,14,13.33,1,0,15,H
92081,0,5,5,3,1,1,1,1,0,1,1,0,19,15.00,1,0,20,T
92082,0,6,0,0,20,0,0,7,0,1,2,0,36,13.16,2,0,38,T
92084,2,6,7,2,0,1,0,1,0,2,1,0,22,24.00,3,0,25,T
92085,17,6,8,10,10,10,10,5,4,15,35,0,130,51.79,37,1,168,E
92086,1,4,1,3,4,5,3,4,3,9,17,0,54,61.90,26,4,84,E
92087,1,6,1,6,1,2,2,3,0,0,1,0,23,12.00,2,0,25,T
92088,2,3,2,0,1,2,0,0,0,0,0,0,10,8.33,1,1,12,T
92090,0,8,0,2,4,1,0,1,0,0,0,0,16,15.00,3,1,20,T
92091,10,6,4,0,0,0,0,0,2,0,0,0,22,4.35,1,0,23,T
92092,10,4,2,1,2,1,0,0,2,1,0,0,23,4.35,0,0,23,T
92093,7,3,2,2,1,0,2,1,1,0,3,0,22,13.64,0,0,22,T
92094,10,7,3,3,1,0,0,0,0,0,0,0,24,0.00,0,0,24,T
92095,11,7,1,2,0,1,1,0,0,0,0,0,23,8.00,2,0,25,T
92096,0,6,5,2,2,1,2,2,0,1,2,0,23,13.04,0,0,23,T
92098,4,18,4,0,0,0,0,0,0,0,0,0,26,0.00,0,0,26,T
92100,3,2,2,0,2,0,0,1,0,0,6,0,16,37.50,0,0,16,T
92101,9,0,1,2,1,1,0,0,1,0,1,0,16,6.25,0,0,16,T
92102,4,2,0,0,4,0,0,4,1,5,0,0,20,25.00,0,0,20,T
92103,7,2,1,0,2,1,0,2,1,1,7,0,24,33.33,0,0,24,T
92104,25,0,0,0,0,0,0,0,0,0,0,0,25,0.00,0,0,25,T
92105,10,2,1,1,1,2,0,2,4,0,0,0,23,0.00,0,0,23,T
92106,2,0,1,5,0,0,0,2,3,0,10,0,23,43.48,0,0,23,T
92107,0,1,2,1,0,1,0,0,0,0,4,0,9,36.36,0,2,11,T
92108,0,16,2,0,0,1,0,0,0,0,0,0,19,9.09,2,1,22,T
92110,1,17,12,7,2,2,0,0,0,0,0,0,41,4.65,2,0,43,F
92111,5,24,1,3,14,8,5,8,0,1,1,0,70,5.56,2,0,72,T
92112,2,5,1,0,4,0,1,1,0,0,1,0,15,12.50,1,0,16,T
92115,0,4,4,0,0,0,0,0,0,0,0,0,8,0.00,0,0,8,T
92121,0,7,1,1,0,0,0,0,0,0,0,0,9,0.00,0,1,10,T
92124,0,7,0,0,2,0,0,0,0,0,0,0,9,10.00,1,0,10,T
92125,0,3,7,2,0,0,0,0,0,0,0,0,12,0.00,0,1,13,T
92126,12,2,0,1,0,0,0,0,0,0,0,0,15,0.00,0,0,15,T
92128,0,4,0,0,4,0,0,4,0,0,0,0,12,20.00,3,0,15,NULL
92129,0,3,0,0,1,0,0,2,0,0,0,0,6,0.00,0,0,6,NULL
92130,1,8,1,0,0,0,0,0,0,0,0,0,10,0.00,0,0,10,T
92136,4,4,3,3,1,1,0,0,0,0,0,0,16,0.00,0,2,18,T
92137,0,7,5,8,8,1,0,0,0,0,0,0,29,6.45,2,0,31,T
92138,10,11,3,5,6,3,2,4,0,0,4,0,48,11.76,2,1,51,T
92139,6,4,2,0,0,0,1,0,0,0,0,0,13,0.00,0,0,13,T
92141,4,5,0,2,3,3,2,1,1,0,0,0,21,0.00,0,0,21,T
