CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
80001,8,6,1,0,0,1,0,0,0,0,0,0,16,0.00,0,0,16,E
80002,0,2,1,1,1,1,0,0,0,0,1,0,7,14.29,0,0,7,E
80007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,9,9,T
80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,31,31,T
80045,2,5,0,2,0,0,2,4,1,2,0,0,18,15.00,1,1,20,T
80046,3,6,2,2,2,0,1,0,1,0,0,0,17,5.26,1,1,19,T
80047,5,8,1,1,0,0,0,0,1,1,0,0,17,5.88,0,0,17,T
80048,4,7,1,2,0,0,0,0,0,0,0,0,14,11.11,2,2,18,E
80049,12,0,2,0,0,0,0,1,0,0,0,0,15,0.00,0,0,15,T
80050,8,3,1,1,1,1,0,0,0,0,0,0,15,6.25,1,0,16,T
80051,20,40,9,5,8,2,3,6,1,2,10,0,106,15.18,5,1,112,E
80056,2,4,2,4,3,20,16,7,3,6,0,0,67,35.79,28,0,95,T
80057,0,6,0,3,16,2,2,9,2,2,4,0,46,20.00,4,0,50,E
80058,3,12,0,1,1,0,1,0,1,0,0,0,19,13.64,3,0,22,T
80059,0,9,4,3,7,2,1,5,1,3,2,0,37,22.22,5,3,45,E
80060,9,13,3,1,10,4,0,3,0,4,2,0,49,20.00,5,1,55,E
80061,2,9,2,4,4,3,3,6,0,5,5,0,43,32.00,6,1,50,E
80062,2,4,4,3,5,4,1,7,2,2,9,0,43,44.83,15,0,58,E
80063,0,9,0,0,3,0,0,1,0,0,3,0,16,35.00,4,0,20,E
80064,0,11,0,3,3,1,0,0,0,0,0,0,18,25.00,6,0,24,E
80066,6,8,1,3,1,2,1,2,0,1,0,0,25,17.24,4,0,29,E
80069,0,8,4,5,2,0,0,0,1,0,0,0,20,13.04,3,0,23,E
80071,0,1,1,1,1,3,1,2,0,0,0,0,10,0.00,0,0,10,E
80073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,6,6,T
80079,0,2,0,1,3,0,1,0,0,1,0,0,8,11.11,0,1,9,E
80082,0,1,2,0,3,1,2,0,2,1,1,0,13,21.43,1,0,14,T
80092,4,6,2,2,2,1,4,3,2,0,2,0,28,13.33,2,0,30,E
80093,2,2,1,3,5,2,4,0,2,2,1,0,24,30.00,6,0,30,E
80094,7,6,1,0,4,1,2,8,0,0,0,0,29,0.00,0,0,29,E
80095,3,10,3,1,2,1,0,5,0,0,1,0,26,16.67,4,0,30,E
80096,1,2,4,6,0,1,1,1,3,1,2,0,22,31.03,6,1,29,E
80097,3,2,0,1,5,2,2,4,0,1,0,0,20,32.14,8,0,28,E
80098,8,5,0,2,1,0,1,2,0,0,0,0,19,0.00,0,1,20,E
80099,15,24,20,23,28,19,12,17,10,2,8,0,178,17.29,27,9,214,E
80100,4,12,4,0,1,3,0,1,0,0,0,0,25,3.70,1,1,27,E
80101,2,12,0,6,6,2,2,11,4,0,1,0,46,11.54,5,1,52,E
